isolate	year
2538|OXC6326	2011
2539|OXC6329	2011
2540|OXC6330	2011
2541|OXC6331	2011
2542|OXC6334	2011
2543|OXC6335	2011
2546|OXC6339	2011
2547|OXC6340	2011
2549|OXC6347	2011
2550|OXC6351	2011
2551|OXC6355	2011
2552|OXC6358	2011
2553|OXC6365	2011
2554|OXC6367	2011
2555|OXC6370	2011
2560|OXC6379	2011
2562|OXC6383	2011
2563|OXC6384	2011
2566|OXC6393	2011
2567|OXC6394	2011
2569|OXC6405	2011
2571|OXC6419	2011
2572|OXC6420	2011
2576|OXC6429	2011
2577|OXC6437	2011
2579|OXC6448	2011
2580|OXC6449	2011
2581|OXC6457	2011
2582|OXC6459	2011
2584|OXC6461	2011
2585|OXC6464	2011
2590|OXC6479	2011
2591|OXC6483	2011
2592|OXC6489	2011
2593|OXC6493	2011
2594|OXC6496	2011
2595|OXC6500	2011
2596|OXC6502	2011
2598|OXC6505	2011
2599|OXC6508	2011
2601|OXC6514	2011
2602|OXC6515	2011
2603|OXC6516	2011
2604|OXC6519	2011
2605|OXC6521	2011
2607|OXC6524	2011
2608|OXC6527	2011
2609|OXC6530	2011
2610|OXC6531	2011
2611|OXC6536	2011
2613|OXC6538	2011
2614|OXC6539	2011
2615|OXC6543	2011
2616|OXC6255	2011
2617|OXC6590	2011
2618|OXC6592	2011
2619|OXC6596	2011
2621|OXC6598	2011
2622|OXC6600	2011
2624|OXC6602	2011
2625|OXC6603	2011
2626|OXC6604	2011
2627|OXC6613	2011
2628|OXC6614	2011
2629|OXC6615	2011
2630|OXC6616	2011
2631|OXC6619	2011
2632|OXC6624	2011
2633|OXC6625	2011
2634|OXC6627	2011
2635|OXC6629	2011
2637|OXC6633	2011
2638|OXC6636	2011
2639|OXC6637	2011
2640|OXC6642	2011
2643|OXC6656	2011
2644|OXC6664	2011
2645|OXC6665	2011
2646|OXC6666	2011
2647|OXC6667	2011
2648|OXC6671	2011
2649|OXC6672	2011
2650|OXC6673	2011
2651|OXC6677	2011
2652|OXC6678	2011
2653|OXC6681	2011
2654|OXC6682	2011
2657|OXC6689	2011
2658|OXC6690	2011
2659|OXC6691	2011
2660|OXC6702	2011
2661|OXC6703	2011
2663|OXC6706	2011
2665|OXC6711	2011
2666|OXC6712	2011
2667|OXC6713	2011
2668|OXC6714	2011
2670|OXC6727	2011
2671|OXC6728	2011
2672|OXC6730	2011
2673|OXC6731	2011
2674|OXC6734	2011
2677|OXC6741	2011
2679|OXC6745	2011
2680|OXC6751	2011
2681|OXC6752	2011
2683|OXC6763	2011
2684|OXC6764	2011
2686|OXC6766	2011
2687|OXC6779	2012
2688|OXC6781	2012
2689|OXC6782	2012
2691|OXC6786	2012
2692|OXC6789	2012
2693|OXC6791	2012
2694|OXC6797	2012
2695|OXC6798	2012
2696|OXC6803	2012
2697|OXC6804	2012
2699|OXC6812	2012
2700|OXC6815	2012
2702|OXC6819	2012
2703|OXC6820	2012
2704|OXC6823	2012
2705|OXC6824	2012
2707|OXC6833	2012
2708|OXC6932	2012
2711|OXC6938	2012
2712|OXC6941	2012
2713|OXC6945	2012
2714|OXC6946	2012
2715|OXC6948	2012
2716|OXC6949	2012
2717|OXC6953	2012
2718|OXC6956	2012
2719|OXC6959	2012
2720|OXC6961	2012
2722|OXC6964	2012
2723|OXC6970	2012
2724|OXC6979	2012
2725|OXC6981	2012
2727|OXC6985	2012
2729|OXC6988	2012
2730|OXC6994	2012
2732|OXC6998	2012
2733|OXC7000	2012
2735|OXC7103	2012
2736|OXC7104	2012
2737|OXC7105	2012
2740|OXC7118	2012
2742|OXC7129	2012
2745|OXC7132	2012
2746|OXC7134	2012
2747|OXC7136	2012
2748|OXC7137	2012
2749|OXC7140	2012
2750|OXC7141	2012
2751|OXC7142	2012
2752|OXC7147	2012
2753|OXC7148	2012
2754|OXC7150	2012
2755|OXC7153	2012
2757|OXC7160	2012
2758|OXC7163	2012
2760|OXC7167	2012
2761|OXC7168	2012
2762|OXC7169	2012
2763|OXC6836	2012
2764|OXC6845	2012
2766|OXC6850	2012
2767|OXC6852	2012
2768|OXC6854	2012
2769|OXC6856	2012
2770|OXC6857	2012
2771|OXC6860	2012
2772|OXC6861	2012
2773|OXC6862	2012
2775|OXC6865	2012
2776|OXC6867	2012
2777|OXC6868	2012
2778|OXC6872	2012
2780|OXC6876	2012
2781|OXC6879	2012
2782|OXC6886	2012
2783|OXC6892	2012
2784|OXC6894	2012
2785|OXC6895	2012
2786|OXC6896	2012
2787|OXC6900	2012
2789|OXC6909	2012
2790|OXC6916	2012
2792|OXC6922	2012
2793|OXC6924	2012
2794|OXC6927	2012
2795|OXC7002	2012
2796|OXC7014	2012
2797|OXC7015	2012
2798|OXC7018	2012
2799|OXC7020	2012
2800|OXC7025	2012
2801|OXC7026	2012
2803|OXC7029	2012
2804|OXC7031	2012
2805|OXC7032	2012
2806|OXC7035	2012
2807|OXC7037	2012
2808|OXC7041	2012
2809|OXC7046	2012
2810|OXC7049	2012
2813|OXC7058	2012
2814|OXC7061	2012
2815|OXC7065	2012
2816|OXC7067	2012
2817|OXC7068	2012
2819|OXC7071	2012
2820|OXC7073	2012
2821|OXC7074	2012
2822|OXC7078	2012
2823|OXC7080	2012
2826|OXC7084	2012
2827|OXC7090	2012
2828|OXC7091	2012
2829|OXC7093	2012
2831|OXC7099	2012
2832|OXC7089	2012
2833|OXC7170	2012
2834|OXC7173	2012
2836|OXC7179	2012
2837|OXC7185	2012
2838|OXC7186	2012
2839|OXC7187	2012
2840|OXC7188	2012
2841|OXC7190	2012
2842|OXC7195	2012
2845|OXC6605	2011
2846|SS_0800	2000
2847|SS_0801	2000
2848|SS_0802	2000
2849|SS_0803	2000
2850|SS_0804	2000
2851|SS_0805	2000
2852|SS_0806	2000
2853|SS_0807	2000
2854|SS_0808	2000
2855|SS_0809	2000
2856|SS_0810	2000
2857|SS_0811	2000
2859|SS_0813	2000
2860|SS_0814	2000
2861|SS_0815	2000
2862|SS_0816	2000
2863|SS_0817	2000
2864|SS_0818	2000
2865|SS_0819	2000
2866|SS_0820	2000
2867|SS_0821	2000
2870|SS_0825	2000
2871|SS_0826	2000
2873|SS_0828	2000
2876|SS_0831	2000
2877|SS_0832	2000
2878|SS_0833	2000
2880|SS_0835	2000
2881|SS_0836	2000
2882|SS_0837	2000
2884|SS_0839	2000
2885|SS_0840	2000
2886|SS_0841	2000
2888|SS_0843	2000
2889|SS_0844	2000
2890|SS_0845	2000
2891|SS_0847	2000
2892|SS_0850	2000
2893|SS_0851	2000
2894|SS_0852	2000
2896|SS_0854	2000
2897|SS_0856	2000
2899|SS_0859	2000
2903|SS_0865	2001
2904|SS_0866	2001
2905|SS_0867	2001
2906|SS_0868	2001
2907|SS_0869	2001
2911|SS_0873	2001
2912|SS_0874	2001
2913|SS_0875	1999
2914|SS_0876	1999
2915|SS_0877	1999
2917|SS_0879	1999
2919|SS_0881	1999
2922|SS_0884	1999
2925|SS_0887	1999
2927|SS_0889	1999
2928|SS_0890	1999
2930|SS_0892	1999
2931|SS_0893	1999
2939|SS_0901	1999
2940|SS_0902	1999
2941|SS_0903	1999
2942|SS_0904	1999
2943|SS_0905	1999
2945|SS_0907	1999
2946|SS_0908	2000
2947|SS_0909	2000
2948|SS_0910	2000
2949|SS_0911	2000
2950|SS_0912	2000
2955|SS_0917	2000
2957|SS_0919	2000
2959|SS_0921	2000
2967|SS_0929	2000
2968|SS_0930	2002
2969|SS_0931	2002
2970|SS_0932	2002
2971|SS_0933	2002
2972|SS_0934	2002
2974|SS_0936	2002
2977|SS_0939	2002
2982|SS_0944	2000
2983|SS_0945	2000
2985|SS_0947	2000
2996|SS_0965	2001
2997|SS_0966	2001
2998|SS_0968	2001
2999|SS_0969	2001
3000|SS_0970	2001
3001|SS_0971	2001
3002|SS_0972	2001
3003|SS_0974	2001
3032|SS_975	2001
3066|SS_1608	2013
3067|SS_1609	2013
3071|SS_1616	2013
3136|LDI4903	2000
3177|LDI6763	2013
3201|LDI6787	2013
3243|01T	2014
3245|03T	2014
3246|04C	2014
3247|05C	2014
3248|06C	2014
3249|07C	2014
3250|07T	2014
3251|08C	2014
3252|09C	2014
3254|10bC	2014
3257|11C	2014
3258|12C	2014
3260|13T	2014
3261|14C	2014
3262|14T	2014
3263|15C	2014
3264|16C	2014
3268|17T	2014
3269|18C	2014
3272|20aC	2014
3273|20bC	2014
3274|20T	2014
3276|21T	2014
3279|23C	2014
